,value,cash,portfolio
2012-01-04,1000000.0,0.0,<method-wrapper '__str__' of dict object at 0x10cfe5d38>
2012-01-05,990272.9744426318,0.0,<method-wrapper '__str__' of dict object at 0x10d0354c8>
2012-01-06,996454.5948885264,0.0,<method-wrapper '__str__' of dict object at 0x10d73fca8>
2012-01-09,1030373.028820011,0.0,<method-wrapper '__str__' of dict object at 0x10d73f828>
2012-01-10,1064643.8281674823,0.0,<method-wrapper '__str__' of dict object at 0x10d054af8>
2012-01-11,1059536.704730832,0.0,<method-wrapper '__str__' of dict object at 0x10d054ee8>
2012-01-12,1059367.0473083197,0.0,<method-wrapper '__str__' of dict object at 0x10d058240>
2012-01-13,1041579.1190864601,0.0,<method-wrapper '__str__' of dict object at 0x10d058558>
2012-01-16,1020402.3926046767,0.0,<method-wrapper '__str__' of dict object at 0x10d058870>
2012-01-17,1070407.8303425775,0.0,<method-wrapper '__str__' of dict object at 0x10d058b88>
2012-01-18,1053698.7493202828,0.0,<method-wrapper '__str__' of dict object at 0x10d081510>
2012-01-19,1073779.227841218,0.0,<method-wrapper '__str__' of dict object at 0x10d081708>
2012-01-20,1089326.8080478522,0.0,<method-wrapper '__str__' of dict object at 0x10d081af8>
2012-01-30,1070460.0326264275,0.0,<method-wrapper '__str__' of dict object at 0x10d081d80>
2012-01-31,1072000.0000000002,0.0,<method-wrapper '__str__' of dict object at 0x1141a4048>
2012-02-01,1056656.8787384448,0.0,<method-wrapper '__str__' of dict object at 0x1141a42d0>
2012-02-02,1081561.7183251765,0.0,<method-wrapper '__str__' of dict object at 0x1141a4558>
2012-02-03,1090196.8461120173,0.0,<method-wrapper '__str__' of dict object at 0x10d0580d8>
2012-02-06,1089426.862425231,0.0,<method-wrapper '__str__' of dict object at 0x10d058438>
2012-02-07,1069255.029907558,0.0,<method-wrapper '__str__' of dict object at 0x10d081e10>
2012-02-08,1099832.5176726477,0.0,<method-wrapper '__str__' of dict object at 0x10d0815a0>
2012-02-09,1100263.1865144097,0.0,<method-wrapper '__str__' of dict object at 0x10d081240>
2012-02-10,1102172.9200652526,0.0,<method-wrapper '__str__' of dict object at 0x10d081318>
2012-02-13,1101459.4888526371,0.0,<method-wrapper '__str__' of dict object at 0x10d058288>
2012-02-14,1097165.8510059814,0.0,<method-wrapper '__str__' of dict object at 0x10d058ee8>
2012-02-15,1109128.8743882545,0.0,<method-wrapper '__str__' of dict object at 0x10d058e10>
2012-02-16,1103238.7166938554,0.0,<method-wrapper '__str__' of dict object at 0x1141a47e0>
2012-02-17,1103682.4361065796,0.0,<method-wrapper '__str__' of dict object at 0x1141a4480>
