,value,cash,portfolio
2012-01-04,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-05,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-06,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-09,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-10,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-11,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-12,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-13,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-16,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-17,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-18,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-19,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-20,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-30,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-01-31,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-01,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-02,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-03,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-06,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-07,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-08,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-09,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-10,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-13,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-14,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-15,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-16,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-17,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-20,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-21,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-22,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-23,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-24,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-27,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-28,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-02-29,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-01,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-02,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-05,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-06,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-07,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-08,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-09,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-12,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-13,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-14,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-15,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-16,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
2012-03-19,1000000.0,1000000.0,<method-wrapper '__str__' of dict object at 0x10f9d86c0>
