Date,社会融资规模当月值,社会融资规模同比增长率(%),CPI：当月同比,PPI：全部工业品：当月同比,工业增加值：当月同比,社会消费品零售总额：当月同比,PMI,国内信贷,M2：同比,金融机构：各项存款余额同比,金融机构：各项贷款余额同比
2004-01-31,438.0,-56.11222445,3.17,3.47,7.2,11.8,,,18.14,21.24415335,20.14298838
2004-02-29,6557.0,62.26181638,2.09,3.54,23.2,9.2,,,19.43,21.54350141,20.70269323
2004-03-31,2731.0,4.15713196,3.04,3.99,19.4,11.1,,,19.11,20.99226568,20.085098199999997
2004-04-30,2443.0,-17.77179401,3.8,5.01,19.1,13.2,,,19.12,20.43705437,19.84609253
2004-05-31,3229.0,-44.72783293,4.37,5.7,17.5,17.8,,,17.71,19.10220923,18.52408765
2004-06-30,590.0,-56.10119048,4.97,6.4,16.2,13.9,,,16.36,18.20029462,13.91065871
2004-07-31,1501.0,-54.80277025,5.27,6.38,15.5,13.2,,,15.49,17.73328867,13.09279567
2004-08-31,2981.0,-26.21287129,5.25,6.81,15.9,13.1,,,13.84,17.57353953,11.77256003
2004-09-30,483.0,-60.34482759,5.19,7.9,16.1,14.0,,,14.14,15.85278124,11.158011199999999
2004-10-31,1977.0,7.91484716,4.27,8.43,15.7,14.2,,,13.65,15.87934355,10.88410573
2004-11-30,3586.0,43.55484388,2.85,8.1,14.8,13.9,,,14.23,16.33467894,11.11145564
2004-12-31,3620.0,71.23935667,2.42,7.07,14.4,14.5,,,14.67,15.60615603,11.55200976
2005-01-31,824.0,88.12785388,1.91,5.81,20.9,11.5,54.7,,14.5,16.70411601,11.96577222
2005-02-28,4189.0,-36.11407656,3.95,5.38,7.6,15.8,54.5,,14.23,15.8988921,11.12973696
2005-03-31,1999.0,-26.80336873,2.69,5.64,15.1,13.9,57.9,,14.22,15.87302962,10.76117878
2005-04-30,1968.0,-19.44330741,1.83,5.78,16.0,12.2,56.7,,14.28,16.42469304,10.30136101
2005-05-31,4723.0,46.26819449,1.76,5.9,16.6,12.8,52.9,,14.64,16.79621714,9.20931371
2005-06-30,629.0,6.61016949,1.6,5.24,16.8,12.9,51.7,,15.67,17.18536121,9.5779753
2005-07-31,2097.0,39.70686209,1.8,5.19,16.1,12.7,51.1,,16.3,17.61293525,9.40366563
2005-08-31,6041.0,102.65011741,1.26,5.26,16.0,12.5,52.6,,17.34,18.336494199999997,9.773407
2005-09-30,-974.0,-301.6563147,0.88,4.5,16.5,12.7,55.1,,17.92,19.08385783,10.07005295
2005-10-31,2368.0,19.77744057,1.22,4.01,16.1,12.8,54.1,,17.99,19.02150442,10.03822218
2005-11-30,2524.0,-29.61517011,1.31,3.21,16.6,12.4,54.1,,18.3,19.06521471,10.38266388
2005-12-31,6323.0,74.66850829,1.56,3.22,16.5,12.5,54.3,,17.57,19.39276018,9.76914696
2006-01-31,1737.0,110.80097087,1.89,3.05,12.6,15.5,52.1,256434.74,19.21,18.775114000000002,10.1661084
2006-02-28,7472.0,78.37192647,0.86,3.01,20.1,9.4,52.1,258548.98,18.82,19.66609729,10.4250221
2006-03-31,3325.0,66.33316658,0.8,2.49,17.8,13.5,55.3,263294.47,18.76,19.54794029,11.28713524
2006-04-30,3785.0,92.32723577,1.21,1.87,16.6,13.5548,58.1,264944.49,18.92,19.78622179,12.12841198
2006-05-31,3843.0,-18.63222528,1.38,2.43,17.9,14.2,54.8,267984.68,19.05,19.59282382,13.62286544
2006-06-30,2254.0,258.34658188,1.51,3.52,19.5,13.9,54.1,271244.79,18.43,18.32318634,15.64297634
2006-07-31,3362.0,60.32427277,1.03,3.58,16.7,13.7,52.4,270790.75,18.4,18.14454611,16.72002679
2006-08-31,3077.0,-49.06472438,1.32,3.4,15.7,13.8,53.1,273282.64,17.94,17.73994448,16.5531012
2006-09-30,894.0,191.78644764,1.51,3.45,16.1,13.9,57.0,275819.99,16.83,17.11186852,15.76079425
2006-10-31,2788.0,17.73648649,1.41,2.9,14.7,14.349,54.7,276049.38,17.08,16.9940731,15.71236168
2006-11-30,3837.0,52.02060222,1.88,2.78,14.9,14.1,55.3,279927.56,16.8,17.11238489,15.36815831
2006-12-31,6908.0,9.25193737,2.81,3.05,14.7,14.6,54.8,288737.79,16.94,16.80699957,15.714638
2007-01-31,3083.0,77.48992516,2.17,3.3,,12.7483,55.1,292047.68,15.79,16.71060014,15.80971773
2007-02-28,6311.0,-15.53800857,2.71,2.6,12.6,16.858,53.1,296617.65,17.78,16.04869495,16.98758707
2007-03-31,6103.0,83.54887218,3.28,2.65,17.6,15.338,56.1,301433.85,17.27,15.94449614,16.08132752
2007-04-30,3824.0,1.03038309,3.03,2.87,17.4,15.5,58.6,303836.96,17.09,15.68528244,16.34382979
2007-05-31,7042.0,83.24225865,3.39,2.76,18.1,15.9,55.7,305399.96,16.74,14.62689734,16.36097562
2007-06-30,3100.0,37.53327418,4.36,2.49,19.4,15.9827,54.5,313661.62,17.06,15.98733463,16.48377291
2007-07-31,6961.0,107.04937537,5.62,2.39,18.0,16.4,53.3,314615.05,18.48,15.97367414,16.67367105
2007-08-31,5290.0,71.92070198,6.52,2.56,17.5,17.1,54.0,318149.44,18.09,16.52125742,17.04438764
2007-09-30,3688.0,312.52796421,6.24,2.71,18.9,17.0105,56.1,323435.97,18.45,16.84253296,17.16213378
