Date,中债,中证全指,CRB
2005/2/21,,1284.48,
2005/2/22,,1309.277,
2005/2/23,,1309.475,
2005/2/24,,1309.949,
2005/2/25,,1312.445,
2005/2/28,,1306.003,
2005/3/1,,1303.412,
2005/3/2,,1287.45,
2005/3/3,,1294.339,
2005/3/4,,1287.714,
2005/3/7,,1293.739,
2005/3/8,,1318.271,
2005/3/9,,1316.791,
2005/3/10,,1286.233,
2005/3/11,,1289.941,
2005/3/14,,1293.5,
2005/3/15,,1269.144,
2005/3/16,,1255.589,
2005/3/17,,1243.475,
2005/3/18,,1227.403,
2005/3/21,,1231.046,
2005/3/22,,1206.922,
2005/3/23,,1201.649,
2005/3/24,,1208.192,
2005/3/25,,1205.634,
2005/3/28,,1200.113,
2005/3/29,108.7457,1195.018,366.23
2005/3/30,109.1319,1172.574,365.68
2005/3/31,109.0821,1181.236,369.95
2005/4/1,108.6664,1223.566,369.08
2005/4/4,108.7721,1202.967,369.44
2005/4/5,108.8862,1191.745,366.67
2005/4/6,108.8604,1214.868,376.92
2005/4/7,109.0901,1225.487,376.96
2005/4/8,109.2279,1248.521,378.26
2005/4/11,109.3792,1240.972,378.72
2005/4/12,109.3806,1219.511,378.17
2005/4/13,109.5345,1248.203,375.52
2005/4/14,109.792,1234.332,365.01
2005/4/15,109.7295,1216.962,367.07
2005/4/18,109.7815,1197.735,367.26
2005/4/19,109.8007,1199.902,369.91
2005/4/20,109.4987,1184.193,369.91
2005/4/21,109.6676,1172.556,371.25
2005/4/22,109.5552,1169.187,372.18
2005/4/25,109.9056,1157.971,371.84
2005/4/26,110.0569,1165.335,370.97
2005/4/27,110.0621,1148.757,368.87
2005/4/28,109.9439,1169.118,367.77
2005/4/29,109.9899,1159.146,370.19
2005/5/9,110.234,1130.835,365.28
2005/5/10,110.2562,1135.561,367.48
2005/5/11,110.1895,1124.271,367.22
2005/5/12,110.282,1103.993,365.43
2005/5/13,110.5188,1107.627,362.36
2005/5/16,110.3074,1095.468,360.98
2005/5/17,110.2096,1099.64,361.01
2005/5/18,110.6025,1102.965,362.58
2005/5/19,110.7806,1103.475,363.28
2005/5/20,110.9485,1099.269,364.23
2005/5/23,111.1564,1070.844,364.16
2005/5/24,111.2474,1073.847,366.73
2005/5/25,111.2641,1072.137,367.93
2005/5/26,111.3042,1058.867,371.71
2005/5/27,111.2159,1051.946,366.34
2005/5/30,111.1753,1060.162,
2005/5/31,111.1436,1060.738,366.09
2005/6/1,111.2255,1039.187,365.65
2005/6/2,111.2835,1016.063,367.48
2005/6/3,111.3163,1013.637,369.8
2005/6/6,111.3347,1034.378,371.79
2005/6/7,111.3647,1030.941,371.74
2005/6/8,111.4664,1115.582,370.08
2005/6/9,111.5848,1131.052,369.63
2005/6/10,111.6658,1108.286,371.09
2005/6/13,111.843,1106.291,369.45
2005/6/14,111.9807,1093.464,368.26
2005/6/15,112.138,1072.836,369.35
2005/6/16,112.2271,1086.01,371.22
2005/6/17,112.4782,1085.61,374.44
2005/6/20,112.7443,1115.62,373.25
2005/6/21,112.8272,1101.486,372.56
2005/6/22,112.8399,1102.033,370.75
2005/6/23,113.1368,1093.702,369.04
2005/6/24,113.0603,1101.882,369.36
2005/6/27,112.8776,1124.64,371.64
2005/6/28,112.7877,1108.588,362.68
2005/6/29,112.7085,1104.992,363.41
2005/6/30,112.8411,1080.938,361.42
2005/7/1,113.0201,1055.594,359.1
2005/7/4,113.0636,1047.278,
2005/7/5,113.0638,1039.043,359.07
2005/7/6,113.1562,1033.545,359.86
2005/7/7,113.2983,1038.597,360.31
2005/7/8,113.413,1017.983,
2005/7/11,113.5004,1011.499,360.52
